edition,site,source_site,start_pdf_page,end_pdf_page,extracted_rule_rows,status
AJCC8,Oropharynx (p16-) and Hypopharynx,Oropharynx (p16-) and Hypopharynx,40,45,0,site_registered_no_tnm_rows_extracted
AJCC8,Nasal Cavity and Paranasal Sinuses,Nasal Cavity and Paranasal Sinuses,46,47,1,rules_extracted_needs_committee_review
AJCC8,Larynx,Larynx,48,49,3,rules_extracted_needs_committee_review
AJCC8,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,50,51,0,site_registered_no_tnm_rows_extracted
AJCC8,Cutaneous Carcinoma of the Head and Neck,Cutaneous Carcinoma of the Head and Neck,52,57,17,rules_extracted_needs_committee_review
AJCC8,Esophagus and EGJ,Esophagus and Esophagogastric Junction,58,60,0,site_registered_no_tnm_rows_extracted
AJCC8,Stomach,Stomach,61,61,0,site_registered_no_tnm_rows_extracted
AJCC8,Small intestine,Small Intestine,62,62,0,site_registered_no_tnm_rows_extracted
AJCC8,Appendix - carcinoma,Appendix - Carcinoma,63,65,9,rules_extracted_needs_committee_review
AJCC8,Colon and Rectum,Colon and Rectum,66,66,0,site_registered_no_tnm_rows_extracted
AJCC8,Anus,Anus,67,67,0,site_registered_no_tnm_rows_extracted
AJCC8,HCC / Liver,Liver,68,69,0,site_registered_no_tnm_rows_extracted
AJCC8,Intrahepatic bile duct,Intrahepatic Bile Ducts,70,71,0,site_registered_no_tnm_rows_extracted
AJCC8,Gallbladder,Gallbladder,72,73,0,site_registered_no_tnm_rows_extracted
AJCC8,Perihilar bile duct,Perihilar Bile Ducts,74,74,0,site_registered_no_tnm_rows_extracted
AJCC8,Distal bile duct,Distal Bile Ducts,75,75,0,site_registered_no_tnm_rows_extracted
AJCC8,Ampulla of Vater,Ampulla of Vater,76,77,3,rules_extracted_needs_committee_review
AJCC8,Pancreatic adenocarcinoma / Exocrine pancreas,Exocrine Pancreas,78,78,0,site_registered_no_tnm_rows_extracted
AJCC8,Neuroendocrine Tumors of the Stomach,Neuroendocrine Tumors of the Stomach,79,81,14,rules_extracted_needs_committee_review
AJCC8,Neuroendocrine Tumors of the Duodenum and Ampulla of Vater,Neuroendocrine Tumors of the Duodenum and Ampulla of Vater,82,82,0,site_registered_no_tnm_rows_extracted
