site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section,definition_origin
Oral Cavity,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,31,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Oral Cavity,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,31,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,clinical,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,clinical,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,clinical,N,N1,"Metastasis in a single ipsilateral lymph node, 3 cm or smaller in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,clinical,N,N2,"Metastasis in a single ipsilateral lymph node, 3 cm or smaller in greatest dimension and ENE(+); or larger than 3 cm but not larger than 6 cm in greatest dimension and ENE(−); or metastases in multiple ipsilateral lymph node(s), none larger than 6 cm in greatest dimension and ENE(−); or in bilateral or contralateral lymph nodes, none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,clinical,N,N2a,Metastasis in single ipsilateral node 3 cm or smaller in greatest dimension and ENE(+) or a single ipsilateral node larger than 3 cm but not larger than 6 cm in greatest dimension and ENE(−),,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,clinical,N,N2b,"Metastasis in multiple ipsilateral nodes, none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,clinical,N,N2c,"Metastasis in bilateral or contralateral lymph node(s), none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,clinical,N,N3,"Metastasis in a lymph node larger than 6 cm in greatest dimension and ENE(−); or in a single ipsilateral node larger than 3 cm in greatest dimension and ENE(+); or multiple ipsilateral, contralateral, or bilateral nodes any with ENE(+); or a single contralateral node of any size and ENE(+)",,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,clinical,N,N3a,Metastasis in a lymph node larger than 6 cm in greatest dimension and ENE(−),,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,pathological,N,N3b,"Metastasis in any node(s) with clinically overt ENE(+) to indicate metastasis above the lower border of the cricoid (U) or below the lower border of the cricoid (L) Similarly, clinical and pathological ENE should be recorded as ENE(−) or ENE(+) Pathological N (pN)",,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,pathological,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,pathological,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,any,N,N3b,"Metastasis in a single ipsilateral node larger than 3 cm in greatest dimension and ENE(+); or multiple ipsilateral, contralateral, or bilateral nodes any with ENE(+); or a single contralateral node of any size and ENE(+) to indicate metastasis above the lower border of the cricoid (U) or below the lower border of the cricoid (L) Similarly, clinical and pathological ENE should be recorded as ENE(−) or ENE(+)",,strict_table_extracted_v1_6,35,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,35,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Major Salivary Glands,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,35,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,37,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,T,T0,"No tumor identified, but EBV-positive cervical node(s) involvement",,strict_table_extracted_v1_6,37,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,T,Tis,Tumor in situ,,strict_table_extracted_v1_6,37,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,T,T1,"Tumor confined to nasopharynx, or extension to oropharynx and/or nasal cavity without parapharyngeal involvement",,strict_table_extracted_v1_6,37,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,T,T2,"Tumor with extension to parapharyngeal space, and/or adjacent soft tissue involvement (medial pterygoid, lateral pterygoid, prevertebral muscles)",,strict_table_extracted_v1_6,37,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,T,T3,"Tumor with infiltration of bony structures at skull base, cervical vertebra, pterygoid structures, and/or paranasal sinuses",,strict_table_extracted_v1_6,37,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,T,T4,"Tumor with intracranial extension, involvement of cranial nerves, hypopharynx, orbit, parotid gland, and/ or extensive soft tissue infiltration beyond the lateral surface of the lateral pterygoid muscle",,strict_table_extracted_v1_6,37,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,37,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,37,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Nasopharynx,AJCC8,clinical,N,N1,"Unilateral metastasis in cervical lymph node(s) and/ or unilateral or bilateral metastasis in retropharyngeal lymph node(s), 6 cm or smaller in greatest dimension, above the caudal border of cricoid cartilage",,strict_table_extracted_v1_6,37,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Nasopharynx,AJCC8,clinical,N,N2,"Bilateral metastasis in cervical lymph node(s), 6 cm or smaller in greatest dimension, above the caudal border of cricoid cartilage",,strict_table_extracted_v1_6,37,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Nasopharynx,AJCC8,clinical,N,N3,"Unilateral or bilateral metastasis in cervical lymph node(s), larger than 6 cm in greatest dimension, and/ or extension below the caudal border of cricoid cartilage",,strict_table_extracted_v1_6,37,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,37,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Nasopharynx,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,37,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T,T0,No primary identified,,strict_table_extracted_v1_6,39,Definition of Primary Tumor (T),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T,T1,Tumor 2 cm or smaller in greatest dimension,,strict_table_extracted_v1_6,39,Definition of Primary Tumor (T),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T,T2,Tumor larger than 2 cm but not larger than 4 cm in greatest dimension,,strict_table_extracted_v1_6,39,Definition of Primary Tumor (T),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T,T3,Tumor larger than 4 cm in greatest dimension or extension to lingual surface of epiglottis,,strict_table_extracted_v1_6,39,Definition of Primary Tumor (T),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T,T4,"Moderately advanced local disease Tumor invades the larynx, extrinsic muscle of tongue, medial pterygoid, hard palate, or mandible or beyond* *Mucosal extension to lingual surface of epiglottis from primary tumors of the base of the tongue and vallecula does not constitute inva- sion of the larynx.",,strict_table_extracted_v1_6,39,Definition of Primary Tumor (T),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,clinical,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,39,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
