site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section,definition_origin
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T,T4b,"Tumor with skull base invasion and/or skull base foramen involvement *Deep invasion is defined as invasion beyond the subcutaneous fat or > 6 mm (as measured from the granular layer of adjacent normal epi- dermis to the base of the tumor); perineural invasion for T3 classification is defined as tumor cells within the nerve sheath of a nerve lying deeper than the dermis or measuring 0.1 mm or larger in caliber, or presenting with clinical or radiographic involvement of named nerves without skull base invasion or transgression.",,strict_table_extracted_v1_6,56,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,clinical,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,clinical,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,clinical,N,N1,"Metastasis in a single ipsilateral lymph node, 3 cm or smaller in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,clinical,N,N2,"Metastasis in a single ipsilateral lymph node, 3 cm or smaller in greatest dimension and ENE(+); or larger than 3 cm but not larger than 6 cm in greatest dimension and ENE(−); or metastases in multiple ipsilateral lymph nodes, none larger than 6 cm in greatest dimension and ENE(−); or in bilateral or contralateral lymph node(s), none larger than 6 cm in greatest dimension, ENE(−)",,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,clinical,N,N2a,Metastasis in single ipsilateral node 3 cm or smaller in greatest dimension and ENE(+); or a single ipsilateral node larger than 3 cm but not larger than 6 cm in greatest dimension and ENE(−),,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,clinical,N,N2b,"Metastasis in multiple ipsilateral nodes, none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,clinical,N,N2c,"Metastasis in bilateral or contralateral lymph node(s), none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,clinical,N,N3,"Metastasis in a lymph node larger than 6 cm in greatest dimension and ENE(−); or in a single ipsilateral node larger than 3 cm in greatest dimension and ENE(+); or multiple ipsilateral, contralateral, or bilateral nodes, any with ENE(+); or a single contralateral node of any size and ENE(+)",,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,clinical,N,N3a,Metastasis in a lymph node larger than 6 cm in greatest dimension and ENE(−),,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,pathological,N,N3b,"Metastasis in any node(s) and ENE(+) indicate metastasis above the lower border of the cricoid (U) or below the lower border of the cricoid (L). Similarly, clinical and pathological ENE should be recorded as ENE(−) or ENE(+). Pathological N (pN)",,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,pathological,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,pathological,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,N,N3b,"Metastasis in a single ipsilateral node larger than 3 cm in greatest dimension and ENE(+); or multiple ipsilateral, contralateral, or bilateral nodes, any with ENE(+); or a single contralateral node of any size and ENE(+) indicate metastasis above the lower border of the cricoid (U) or below the lower border of the cricoid (L). Similarly, clinical and pathological ENE should be recorded as ENE(−) or ENE(+).",,strict_table_extracted_v1_6,56,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,57,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,57,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T0,No evidence of primary tumor,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,Tis,Carcinoma in situ (intramucosal carcinoma; invasion of the lamina propria or extension into but not through the muscularis mucosae),,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,Tis(LAMN),Low-grade appendiceal mucinous neoplasm confined by the muscularis propria. Acellular mucin or mucinous epithelium may invade into the muscularis propria.,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T1,"and T2 are not applicable to LAMN. Acellular mucin or mucinous epithelium that extends into the subserosa or serosa should be classified as T3 or T4a, respectively.",,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T2,Tumor invades the muscularis propria,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T3,Tumor invades through the muscularis propria into the subserosa or the mesoappendix,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T4,"Tumor invades the visceral peritoneum, including the acellular mucin or mucinous epithelium involving the serosa of the appendix or mesoappendix, and/or directly invades adjacent organs or structures",,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T4a,"Tumor invades through the visceral peritoneum, including the acellular mucin or mucinous epithelium involving the serosa of the appendix or serosa of the mesoappendix",,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T4b,Tumor directly invades or adheres to adjacent organs or structures,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,65,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,65,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,N,N1,"One to three regional lymph nodes are positive (tumor in lymph node measuring ≥0.2 mm) or any number of tumor deposits is present, and all identifiable lymph nodes are negative",,strict_table_extracted_v1_6,65,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,N,N1a,One regional lymph node is positive,,strict_table_extracted_v1_6,65,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,N,N1b,Two or three regional lymph nodes are positive,,strict_table_extracted_v1_6,65,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,N,N1c,"No regional lymph nodes are positive, but there are tumor deposits in the subserosa or mesentery",,strict_table_extracted_v1_6,65,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,N,N2,Four or more regional lymph nodes are positive,,strict_table_extracted_v1_6,65,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,65,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,65,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,M,M1a,"Intraperitoneal acellular mucin, without identifiable tumor cells in the disseminated peritoneal mucinous deposits",,strict_table_extracted_v1_6,65,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,M,M1b,"Intraperitoneal metastasis only, including peritoneal mucinous deposits containing tumor cells",,strict_table_extracted_v1_6,65,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,M,M1c,"Metastasis to sites other than peritoneum tumor cells, efforts should be made to obtain additional tissue for thor- ough histologic examination to evaluate for cellularity HISTOLOGIC GRADE (G) G Definition GX Grade cannot be assessed G1 Well differentiated G2 Moderately differentiated G3 Poorly differentiated",,strict_table_extracted_v1_6,65,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,T0,No evidence of primary tumor,,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,Tis,Carcinoma in situ,,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,T1,Tumor limited to ampulla of Vater or sphincter of Oddi or tumor invades beyond the sphincter of Oddi (perisphincteric invasion) and/or into the duodenal submucosa,,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,T1a,Tumor limited to ampulla of Vater or sphincter of Oddi,,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,T1b,Tumor invades beyond the sphincter of Oddi (perisphincteric invasion) and/or into the duodenal submucosa,,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,T2,Tumor invades into the muscularis propria of the duodenum,,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,T3,"Tumor directly invades the pancreas (up to 0.5 cm) or tumor extends more than 0.5 cm into the pancreas, or extends into peripancreatic or periduodenal tissue or duodenal serosa without involvement of the celiac axis or superior mesenteric artery",,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,T3a,Tumor directly invades pancreas (up to 0.5 cm),,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,T3b,"Tumor extends more than 0.5 cm into the pancreas, or extends into peripancreatic tissue or periduodenal tissue or duodenal serosa without involvement of the celiac axis or superior mesenteric artery",,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,T,T4,"Tumor involves the celiac axis, superior mesenteric artery, and/or common hepatic artery, irrespective of size",,strict_table_extracted_v1_6,77,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,77,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,77,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,N,N1,Metastasis to one to three regional lymph nodes,,strict_table_extracted_v1_6,77,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,N,N2,Metastasis to four or more regional lymph nodes,,strict_table_extracted_v1_6,77,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,77,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Ampulla of Vater,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,77,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,81,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,T,T0,No evidence of primary tumor,,strict_table_extracted_v1_6,81,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,T,T1,Invades the lamina propria or submucosa and less than or equal to 1 cm in size,,strict_table_extracted_v1_6,81,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,T,T2,Invades the muscularis propria or greater than 1 cm in size,,strict_table_extracted_v1_6,81,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,T,T3,Invades through the muscularis propria into subserosal tissue without penetration of overlying serosa,,strict_table_extracted_v1_6,81,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,T,T4,"Invades visceral peritoneum (serosa) or other organs or adjacent structures X = 1-4 and # = number of primary tumors identified**]; for multiple tumors with different Ts, use the highest. **Example: If there are two primary tumors, one of which penetrates only the subserosa, we define the primary tumor as either T3(2) or T3(m).",,strict_table_extracted_v1_6,81,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,81,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,81,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,N,N1,Regional lymph node metastasis,,strict_table_extracted_v1_6,81,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,81,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,81,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,M,M1a,Metastasis confined to liver,,strict_table_extracted_v1_6,81,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,M,M1b,"Metastases in at least one extrahepatic site (e.g., lung, ovary, nonregional lymph node, peritoneum, bone)",,strict_table_extracted_v1_6,81,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Stomach,AJCC8,any,M,M1c,Both hepatic and extrahepatic metastases,,strict_table_extracted_v1_6,81,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,84,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T,T0,No evidence of primary tumor,,strict_table_extracted_v1_6,84,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T,T1,Invades lamina propria or submucosa and less than or equal to1 cm in size,,strict_table_extracted_v1_6,84,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T,T2,Invades muscularis propria or greater than 1 cm in size,,strict_table_extracted_v1_6,84,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T,T3,Invades through the muscularis propria into subserosal tissue without penetration of overlying serosa,,strict_table_extracted_v1_6,84,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T,T4,"Invades visceral peritoneum (serosal) or other organs or adjacent structures X = 1-4, and # = number of primary tumors identified**]; for multiple tumors with different T, use the highest. **Example: If there are two primary tumors, only one of which invades through the muscularis propria into subserosal tissue without penetra- tion of overlying serosa (jejunal or ileal), we define the primary tumor as either T3(2) or T3(m).",,strict_table_extracted_v1_6,84,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,84,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,N,N0,No regional lymph node metastasis has occurred,,strict_table_extracted_v1_6,84,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,N,N1,Regional lymph node metastasis less than 12 nodes,,strict_table_extracted_v1_6,84,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,clinical,N,N2,"Large mesenteric masses (>2 cm) and/or extensive nodal deposits (12 or greater), especially those that encase the superior mesenteric vessels",,strict_table_extracted_v1_6,84,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,84,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,84,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,M,M1a,Metastasis confined to liver,,strict_table_extracted_v1_6,84,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,M,M1b,"Metastases in at least one extrahepatic site (e.g., lung, ovary, nonregional lymph node, peritoneum, bone)",,strict_table_extracted_v1_6,84,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,M,M1c,Both hepatic and extrahepatic metastases,,strict_table_extracted_v1_6,84,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,87,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,T,T0,No evidence of primary tumor,,strict_table_extracted_v1_6,87,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,T,T1,Tumor 2 cm or less in greatest dimension,,strict_table_extracted_v1_6,87,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,T,T2,Tumor more than 2 cm but less than or equal to 4 cm,,strict_table_extracted_v1_6,87,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,T,T3,Tumor more than 4 cm or with subserosal invasion or involvement of the mesoappendix,,strict_table_extracted_v1_6,87,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,T,T4,"Tumor perforates the peritoneum or directly invades other adjacent organs or structures (excluding direct mural extension to adjacent subserosa of adjacent bowel), e.g., abdominal wall and skeletal muscle",,strict_table_extracted_v1_6,87,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,87,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,87,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,N,N1,Regional lymph node metastasis,,strict_table_extracted_v1_6,87,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,87,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,87,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,M,M1a,Metastasis confined to liver,,strict_table_extracted_v1_6,87,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,M,M1b,"Metastases in at least one extrahepatic site (e.g., lung, ovary, nonregional lymph node, peritoneum, bone)",,strict_table_extracted_v1_6,87,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Appendix,AJCC8,any,M,M1c,Both hepatic and extrahepatic metastases,,strict_table_extracted_v1_6,87,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,91,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T,T0,No evidence of primary tumor,,strict_table_extracted_v1_6,91,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T,T1,Tumor invades the lamina propria or submucosa and is ≤2 cm,,strict_table_extracted_v1_6,91,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T,T1a,Tumor <1 cm in greatest dimension,,strict_table_extracted_v1_6,91,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T,T1b,Tumor 1-2 cm in greatest dimension,,strict_table_extracted_v1_6,91,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T,T2,Tumor invades the muscularis propria or is >2 cm with invasion of the lamina propria or submucosa,,strict_table_extracted_v1_6,91,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T,T3,Tumor invades through the muscularis propria into subserosal tissue without penetration of overlying serosa,,strict_table_extracted_v1_6,91,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,T,T4,"Tumor invades the visceral peritoneum (serosa) or other organs or adjacent structures where X = 1-4 and # = number of primary tumors identified**]; for multiple tumors with different T, use the highest. **Example: If there are two primary tumors, only one of which invades through the muscularis propria into the subserosal tissue without pene- tration of the overlying serosa, we define the primary tumor as either T3(2) or T3(m).",,strict_table_extracted_v1_6,91,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,91,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,N,N0,No regional lymph node metastasis has occurred,,strict_table_extracted_v1_6,91,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,N,N1,Regional lymph node metastasis,,strict_table_extracted_v1_6,91,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,91,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,91,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,M,M1a,Metastasis confined to liver,,strict_table_extracted_v1_6,91,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,M,M1b,"Metastases in at least one extrahepatic site (e.g., lung, ovary, nonregional lymph node, peritoneum, bone)",,strict_table_extracted_v1_6,91,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,any,M,M1c,Both hepatic and extrahepatic metastases,,strict_table_extracted_v1_6,91,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Pancreas,AJCC8,any,T,TX,Tumor cannot be assessed,,strict_table_extracted_v1_6,93,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Pancreas,AJCC8,any,T,T1,"Tumor limited to the pancreas,* <2 cm",,strict_table_extracted_v1_6,93,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Pancreas,AJCC8,any,T,T2,"Tumor limited to the pancreas,* 2−4 cm",,strict_table_extracted_v1_6,93,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Pancreas,AJCC8,any,T,T3,"Tumor limited to the pancreas,* >4 cm; or tumor invading the duodenum or common bile duct",,strict_table_extracted_v1_6,93,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Neuroendocrine Tumors of the Pancreas,AJCC8,any,T,T4,"Tumor invading adjacent organs (stomach, spleen, colon, adrenal gland) or the wall of large vessels (celiac axis or the superior mesenteric artery)",,strict_table_extracted_v1_6,93,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Malignant Pleural Mesothelioma,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,98,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Malignant Pleural Mesothelioma,AJCC8,any,T,T0,No evidence of primary tumor,,strict_table_extracted_v1_6,98,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Malignant Pleural Mesothelioma,AJCC8,any,T,T1,Tumor limited to the ipsilateral parietal pleura with or without involvement of • visceral pleura • mediastinal pleura • diaphragmatic pleura,,strict_table_extracted_v1_6,98,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Malignant Pleural Mesothelioma,AJCC8,any,T,T2,"Tumor involving each of the ipsilateral pleural surfaces (parietal, mediastinal, diaphragmatic, and visceral pleura) with at least one of the following features: • involvement of diaphragmatic muscle • extension of tumor from visceral pleura into the underlying pulmonary parenchyma",,strict_table_extracted_v1_6,98,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
