edition,source_pdf_page,site,source_site,line_no,raw_line,columns_json
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,39,T3 N2 M0 C03.0 Upper gum,"[""T3"", ""N2"", ""M0"", ""C03.0 Upper gum""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,40,T4a N2 M0 C03.1 Lower gum,"[""T4a"", ""N2"", ""M0"", ""C03.1 Lower gum""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,41,"C03.9 Gum, NOS","[""C03.9 Gum, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,42,Stage IVB Any T N3 M0 C04.0 Anterior floor of mouth,"[""Stage IVB"", ""Any T"", ""N3"", ""M0"", ""C04.0 Anterior floor of mouth""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,43,T4b Any N M0 C04.1 Lateral floor of mouth,"[""T4b"", ""Any N"", ""M0"", ""C04.1 Lateral floor of mouth""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,44,C04.8 Overlapping lesion of floor,"[""C04.8 Overlapping lesion of floor""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,45,Stage IVC Any T Any N M1 of mouth,"[""Stage IVC"", ""Any T"", ""Any N"", ""M1"", ""of mouth""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,46,"C04.9 Floor of mouth, NOS","[""C04.9 Floor of mouth, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,47,C05.0 Hard palate,"[""C05.0 Hard palate""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,48,C05.8 Overlapping lesion of palate,"[""C05.8 Overlapping lesion of palate""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,49,"C05.9 Palate, NOS","[""C05.9 Palate, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,50,C06.0 Cheek mucosa,"[""C06.0 Cheek mucosa""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,51,C06.1 Vestibule of mouth,"[""C06.1 Vestibule of mouth""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,52,C06.2 Retromolar area,"[""C06.2 Retromolar area""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,53,C06.8 Overlapping lesion of other,"[""C06.8 Overlapping lesion of other""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,54,and unspecified parts of,"[""and unspecified parts of""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,55,mouth,"[""mouth""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,56,"C06.9 Mouth, NOS","[""C06.9 Mouth, NOS""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,58,ICD-O-3 HISTOLOGY CODE,"[""ICD-O-3 HISTOLOGY CODE""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,59,RANGES,"[""RANGES""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,60,"8000-8576, 8940-8950, 8980-8981","[""8000-8576, 8940-8950, 8980-8981""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,65,Lip and Oral Cavity 29,"[""Lip and Oral Cavity"", ""29""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,70,"In order to view this proof accurately, the Overprint Preview Option must be","[""In order to view this proof accurately, the Overprint Preview Option must be""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,71,set to Always in Acrobat Professional or Adobe Reader. Please contact your,"[""set to Always in Acrobat Professional or Adobe Reader. Please contact your""]"
AJCC7,45,Lip and Oral Cavity,Lip and Oral Cavity,72,Customer Service Representative if you have questions about finding this option.,"[""Customer Service Representative if you have questions about finding this option.""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,1,Job Name: -- /381449t,"[""Job Name: --"", ""/381449t""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,6,ANATOMY surface of the lower alveolar ridge to the undersurface of the,"[""ANATOMY"", ""surface of the lower alveolar ridge to the undersurface of the""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,7,tongue. Its posterior boundary is the base of the anterior pil-,"[""tongue. Its posterior boundary is the base of the anterior pil-""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,8,Primary Site. The oral cavity extends from the skin-vermil- lar of the tonsil. It is divided into two sides by the frenulum of,"[""Primary Site. The oral cavity extends from the skin-vermil-"", ""lar of the tonsil. It is divided into two sides by the frenulum of""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,9,ion junction of the lips to the junction of the hard and soft the tongue and contains the ostia of the submandibular and,"[""ion junction of the lips to the junction of the hard and soft"", ""the tongue and contains the ostia of the submandibular and""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,10,palate above and to the line of circumvallate papillae below sublingual salivary glands.,"[""palate above and to the line of circumvallate papillae below"", ""sublingual salivary glands.""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,11,and is divided into the following specific sites:,"[""and is divided into the following specific sites:""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,12,Hard Palate. This is the semilunar area between the upper,"[""Hard Palate. This is the semilunar area between the upper""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,13,Mucosal Lip. The lip begins at the junction of the vermilion alveolar ridge and the mucous membrane covering the pala-,"[""Mucosal Lip. The lip begins at the junction of the vermilion"", ""alveolar ridge and the mucous membrane covering the pala-""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,14,border with the skin and includes only the vermilion surface tine process of the maxillary palatine bones. It extends from,"[""border with the skin and includes only the vermilion surface"", ""tine process of the maxillary palatine bones. It extends from""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,15,or that portion of the lip that comes into contact with the the inner surface of the superior alveolar ridge to the poste-,"[""or that portion of the lip that comes into contact with the"", ""the inner surface of the superior alveolar ridge to the poste-""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,16,opposing lip. It is well defined into an upper and lower lip rior edge of the palatine bone.,"[""opposing lip. It is well defined into an upper and lower lip"", ""rior edge of the palatine bone.""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,17,joined at the commissures of the mouth.,"[""joined at the commissures of the mouth.""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,18,Anterior Two-Thirds of the Tongue (Oral Tongue). This is,"[""Anterior Two-Thirds of the Tongue (Oral Tongue). This is""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,19,Buccal Mucosa. This includes all the membranous lining of the freely mobile portion of the tongue that extends anteri-,"[""Buccal Mucosa. This includes all the membranous lining of"", ""the freely mobile portion of the tongue that extends anteri-""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,20,the inner surface of the cheeks and lips from the line of con- orly from the line of circumvallate papillae to the undersur-,"[""the inner surface of the cheeks and lips from the line of con-"", ""orly from the line of circumvallate papillae to the undersur-""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,21,tact of the opposing lips to the line of attachment of mucosa face of the tongue at the junction of the floor of the mouth.,"[""tact of the opposing lips to the line of attachment of mucosa"", ""face of the tongue at the junction of the floor of the mouth.""]"
