group_order,site_group,site_order,site,display_label
60,Bone & Soft Tissue / 骨與軟組織,48,Soft Tissue Sarcoma of the Retroperitoneum,Soft Tissue Sarcoma of the Retroperitoneum
60,Bone & Soft Tissue / 骨與軟組織,49,Soft Tissue Sarcoma – Unusual Histologies and Sites,Soft Tissue Sarcoma – Unusual Histologies and Sites
70,Skin / 皮膚,50,Merkel Cell Carcinoma,Merkel Cell Carcinoma
70,Skin / 皮膚,51,Melanoma of the Skin,Melanoma of the Skin
80,Gynecologic / 婦癌,53,Vulva,Vulva
80,Gynecologic / 婦癌,54,Vagina,Vagina
80,Gynecologic / 婦癌,55,Cervix Uteri,Cervix Uteri
80,Gynecologic / 婦癌,56,Corpus Uteri – Carcinoma and Carcinosarcoma,Corpus Uteri – Carcinoma and Carcinosarcoma
80,Gynecologic / 婦癌,57,Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma
80,Gynecologic / 婦癌,58,Corpus Uteri – Adenosarcoma,Corpus Uteri – Adenosarcoma
80,Gynecologic / 婦癌,59,"Ovary, Fallopian Tube and Primary Peritoneal Carcinoma","Ovary, Fallopian Tube and Primary Peritoneal Carcinoma"
80,Gynecologic / 婦癌,60,Gestational Trophoblastic Neoplasms,Gestational Trophoblastic Neoplasms
90,Genitourinary / 泌尿與男性生殖,61,Penis,Penis
90,Genitourinary / 泌尿與男性生殖,62,Prostate,Prostate
90,Genitourinary / 泌尿與男性生殖,63,Testis,Testis
90,Genitourinary / 泌尿與男性生殖,64,Kidney,Kidney
90,Genitourinary / 泌尿與男性生殖,65,Urinary Bladder: Urothelial Carcinomas,Urinary Bladder: Urothelial Carcinomas
90,Genitourinary / 泌尿與男性生殖,66,Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma
90,Genitourinary / 泌尿與男性生殖,67,Male Penile Urethra and Female Urethra: Urothelial Carcinomas,Male Penile Urethra and Female Urethra: Urothelial Carcinomas
90,Genitourinary / 泌尿與男性生殖,68,Male Penile and Female Urethra: Squamous Cell Carcinoma and Adenocarcinoma,Male Penile and Female Urethra: Squamous Cell Carcinoma and Adenocarcinoma
90,Genitourinary / 泌尿與男性生殖,69,Prostatic Urethra: Urothelial Carcinomas,Prostatic Urethra: Urothelial Carcinomas
90,Genitourinary / 泌尿與男性生殖,70,Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma
100,Ophthalmic / 眼科腫瘤,71,Eyelid Carcinoma,Eyelid Carcinoma
100,Ophthalmic / 眼科腫瘤,72,Conjunctival Carcinoma,Conjunctival Carcinoma
100,Ophthalmic / 眼科腫瘤,73,Conjunctival Melanoma,Conjunctival Melanoma
100,Ophthalmic / 眼科腫瘤,74,Uveal Melanoma – Iris Melanoma,Uveal Melanoma – Iris Melanoma
100,Ophthalmic / 眼科腫瘤,75,Uveal Melanoma – Choroidal and Ciliary Body Melanoma,Uveal Melanoma – Choroidal and Ciliary Body Melanoma
100,Ophthalmic / 眼科腫瘤,76,Retinoblastoma,Retinoblastoma
100,Ophthalmic / 眼科腫瘤,77,Lacrimal Gland Carcinoma,Lacrimal Gland Carcinoma
100,Ophthalmic / 眼科腫瘤,78,Orbital Sarcoma,Orbital Sarcoma
100,Ophthalmic / 眼科腫瘤,79,Ocular Adnexal Lymphoma,Ocular Adnexal Lymphoma
110,CNS / 中樞神經,80,Brain and Spinal Cord,Brain and Spinal Cord
120,Endocrine / 內分泌,81,Thyroid – Differentiated,Thyroid – Differentiated
