site,edition,classification,category_type,category,definition_found_exact,definition_found_parent,status
HCC / Liver,AJCC8,any,T,T1b,True,False,PASS
HCC / Liver,AJCC8,any,T,T2,True,False,PASS
HCC / Liver,AJCC8,any,T,T3,True,False,PASS
HCC / Liver,AJCC8,any,T,T4,True,False,PASS
Intrahepatic bile duct,AJCC8,any,M,M1,True,False,PASS
Intrahepatic bile duct,AJCC8,any,N,N1,True,False,PASS
Intrahepatic bile duct,AJCC8,any,M,M0,True,False,PASS
Intrahepatic bile duct,AJCC8,any,T,T1,True,False,PASS
Intrahepatic bile duct,AJCC8,any,N,N0,True,False,PASS
Intrahepatic bile duct,AJCC8,any,T,T1a,True,False,PASS
Intrahepatic bile duct,AJCC8,any,T,T1b,True,False,PASS
Intrahepatic bile duct,AJCC8,any,T,T2,True,False,PASS
Intrahepatic bile duct,AJCC8,any,T,T3,True,False,PASS
Intrahepatic bile duct,AJCC8,any,T,T4,True,False,PASS
Intrahepatic bile duct,AJCC8,any,T,Tis,True,False,PASS
Perihilar bile duct,AJCC8,any,M,M1,True,False,PASS
Perihilar bile duct,AJCC8,any,N,N1,True,False,PASS
Perihilar bile duct,AJCC8,any,M,M0,True,False,PASS
Perihilar bile duct,AJCC8,any,N,N2,True,False,PASS
Perihilar bile duct,AJCC8,any,T,T1,True,False,PASS
Perihilar bile duct,AJCC8,any,N,N0,True,False,PASS
Perihilar bile duct,AJCC8,any,T,T2,True,False,PASS
Perihilar bile duct,AJCC8,any,T,T2a,True,False,PASS
Perihilar bile duct,AJCC8,any,T,T2b,True,False,PASS
Perihilar bile duct,AJCC8,any,T,T3,True,False,PASS
Perihilar bile duct,AJCC8,any,T,T4,True,False,PASS
Perihilar bile duct,AJCC8,any,T,Tis,True,False,PASS
Distal bile duct,AJCC8,any,M,M1,True,False,PASS
Distal bile duct,AJCC8,any,T,T1,True,False,PASS
Distal bile duct,AJCC8,any,N,N0,True,False,PASS
Distal bile duct,AJCC8,any,M,M0,True,False,PASS
Distal bile duct,AJCC8,any,T,T2,True,False,PASS
Distal bile duct,AJCC8,any,T,T3,True,False,PASS
Distal bile duct,AJCC8,any,N,N1,True,False,PASS
Distal bile duct,AJCC8,any,N,N2,True,False,PASS
Distal bile duct,AJCC8,any,T,T4,True,False,PASS
Distal bile duct,AJCC8,any,T,Tis,True,False,PASS
Gallbladder,AJCC8,any,M,M1,True,False,PASS
Gallbladder,AJCC8,any,N,N2,True,False,PASS
Gallbladder,AJCC8,any,M,M0,True,False,PASS
Gallbladder,AJCC8,any,T,T1,True,False,PASS
Gallbladder,AJCC8,any,T,T1a,True,False,PASS
Gallbladder,AJCC8,any,T,T1b,True,False,PASS
Gallbladder,AJCC8,any,N,N0,True,False,PASS
Gallbladder,AJCC8,any,T,T2,True,False,PASS
Gallbladder,AJCC8,any,T,T2a,True,False,PASS
Gallbladder,AJCC8,any,T,T2b,True,False,PASS
Gallbladder,AJCC8,any,T,T3,True,False,PASS
Gallbladder,AJCC8,any,N,N1,True,False,PASS
Gallbladder,AJCC8,any,T,T4,True,False,PASS
Gallbladder,AJCC8,any,T,Tis,True,False,PASS
Ampulla of Vater,AJCC8,any,M,M1,True,False,PASS
Ampulla of Vater,AJCC8,any,N,N2,True,False,PASS
Ampulla of Vater,AJCC8,any,M,M0,True,False,PASS
Ampulla of Vater,AJCC8,any,T,T1,True,False,PASS
Ampulla of Vater,AJCC8,any,N,N0,True,False,PASS
Ampulla of Vater,AJCC8,any,T,T1a,True,False,PASS
Ampulla of Vater,AJCC8,any,T,T1b,True,False,PASS
Ampulla of Vater,AJCC8,any,T,T2,True,False,PASS
Ampulla of Vater,AJCC8,any,T,T3a,True,False,PASS
Ampulla of Vater,AJCC8,any,T,T3b,True,False,PASS
Ampulla of Vater,AJCC8,any,T,T3,True,False,PASS
Ampulla of Vater,AJCC8,any,N,N1,True,False,PASS
Ampulla of Vater,AJCC8,any,T,T4,True,False,PASS
Ampulla of Vater,AJCC8,any,T,Tis,True,False,PASS
Exocrine pancreas,AJCC8,any,M,M1,True,False,PASS
Exocrine pancreas,AJCC8,any,T,T1,True,False,PASS
Exocrine pancreas,AJCC8,any,T,T1a,True,False,PASS
Exocrine pancreas,AJCC8,any,T,T1b,True,False,PASS
Exocrine pancreas,AJCC8,any,T,T1c,True,False,PASS
Exocrine pancreas,AJCC8,any,N,N0,True,False,PASS
Exocrine pancreas,AJCC8,any,M,M0,True,False,PASS
Exocrine pancreas,AJCC8,any,T,T2,True,False,PASS
Exocrine pancreas,AJCC8,any,T,T3,True,False,PASS
Exocrine pancreas,AJCC8,any,N,N1,True,False,PASS
Exocrine pancreas,AJCC8,any,N,N2,True,False,PASS
Exocrine pancreas,AJCC8,any,T,T4,True,False,PASS
Exocrine pancreas,AJCC8,any,T,Tis,True,False,PASS
NET - stomach,AJCC8,any,M,M1,True,False,PASS
NET - stomach,AJCC8,any,T,T1,True,False,PASS
NET - stomach,AJCC8,any,N,N0,True,False,PASS
NET - stomach,AJCC8,any,M,M0,True,False,PASS
NET - stomach,AJCC8,any,T,T2,True,False,PASS
NET - stomach,AJCC8,any,T,T3,True,False,PASS
NET - stomach,AJCC8,any,T,T4,True,False,PASS
NET - stomach,AJCC8,any,N,N1,True,False,PASS
NET - duodenum / ampulla,AJCC8,any,M,M1,True,False,PASS
NET - duodenum / ampulla,AJCC8,any,N,N1,True,False,PASS
NET - duodenum / ampulla,AJCC8,any,M,M0,True,False,PASS
NET - duodenum / ampulla,AJCC8,any,T,T1,True,False,PASS
NET - duodenum / ampulla,AJCC8,any,N,N0,True,False,PASS
NET - duodenum / ampulla,AJCC8,any,T,T2,True,False,PASS
NET - duodenum / ampulla,AJCC8,any,T,T3,True,False,PASS
NET - duodenum / ampulla,AJCC8,any,T,T4,True,False,PASS
NET - jejunum / ileum,AJCC8,any,M,M1,True,False,PASS
NET - jejunum / ileum,AJCC8,any,N,N1,True,False,PASS
NET - jejunum / ileum,AJCC8,any,N,N2,True,False,PASS
NET - jejunum / ileum,AJCC8,any,M,M0,True,False,PASS
NET - jejunum / ileum,AJCC8,any,T,T1,True,False,PASS
NET - jejunum / ileum,AJCC8,any,N,N0,True,False,PASS
NET - jejunum / ileum,AJCC8,any,T,T2,True,False,PASS
NET - jejunum / ileum,AJCC8,any,T,T3,True,False,PASS
NET - jejunum / ileum,AJCC8,any,T,T4,True,False,PASS
NET - appendix,AJCC8,any,M,M1,True,False,PASS
NET - appendix,AJCC8,any,N,N1,True,False,PASS
NET - appendix,AJCC8,any,M,M0,True,False,PASS
NET - appendix,AJCC8,any,T,T1,True,False,PASS
NET - appendix,AJCC8,any,N,N0,True,False,PASS
NET - appendix,AJCC8,any,T,T2,True,False,PASS
NET - appendix,AJCC8,any,T,T3,True,False,PASS
NET - appendix,AJCC8,any,T,T4,True,False,PASS
NET - colon / rectum,AJCC8,any,M,M1,True,False,PASS
NET - colon / rectum,AJCC8,any,N,N1,True,False,PASS
NET - colon / rectum,AJCC8,any,M,M0,True,False,PASS
NET - colon / rectum,AJCC8,any,T,T1,True,False,PASS
NET - colon / rectum,AJCC8,any,N,N0,True,False,PASS
NET - colon / rectum,AJCC8,any,T,T2,True,False,PASS
NET - colon / rectum,AJCC8,any,T,T3,True,False,PASS
NET - colon / rectum,AJCC8,any,T,T4,True,False,PASS
NET - pancreas,AJCC8,any,M,M1,True,False,PASS
NET - pancreas,AJCC8,any,N,N1,True,False,PASS
NET - pancreas,AJCC8,any,M,M0,True,False,PASS
NET - pancreas,AJCC8,any,T,T1,True,False,PASS
NET - pancreas,AJCC8,any,N,N0,True,False,PASS
NET - pancreas,AJCC8,any,T,T2,True,False,PASS
NET - pancreas,AJCC8,any,T,T3,True,False,PASS
NET - pancreas,AJCC8,any,T,T4,True,False,PASS
