map_id,v5_term,v5_soc,v5_page,v6_term,v6_soc,v6_page,map_type,change_flag,changed_fields,possible_counterpart_term,mapping_note
M0105,Bronchopulmonary hemorrhage,"Respiratory, thoracic and mediastinal disorders",132,Bronchopulmonary hemorrhage,"Respiratory, thoracic and mediastinal disorders",270,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0106,Bronchospasm,"Respiratory, thoracic and mediastinal disorders",132,Bronchospasm,"Respiratory, thoracic and mediastinal disorders",270,exact_term,Changed,g2; g3; definition,-,Exact same AE term in both versions.
M0107,Bruising,"Injury, poisoning and procedural complications",70,Bruising,"Injury, poisoning and procedural complications",135,exact_term,Same,-,-,Exact same AE term in both versions.
M0108,Budd-Chiari syndrome,Hepatobiliary disorders,48,Budd-Chiari syndrome,Hepatobiliary disorders,93,exact_term,Same,-,-,Exact same AE term in both versions.
M0109,Bullous dermatitis,Skin and subcutaneous tissue disorders,142,-,-,-,v5_only,v5 only,-,Dermatosis bullous,Possible terminology update; not auto-merged.
M0110,Burn,"Injury, poisoning and procedural complications",71,Burn,"Injury, poisoning and procedural complications",135,exact_term,Same,-,-,Exact same AE term in both versions.
M0111,Buttock pain,Musculoskeletal and connective tissue disorders,95,Buttock pain,Musculoskeletal and connective tissue disorders,185,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0112,-,-,-,Candidiasis,Infections and infestations,106,v6_only,v6 only,-,Thrush,Related infection terminology; not auto-merged.
M0113,Capillary leak syndrome,Vascular disorders,152,Capillary leak syndrome,Vascular disorders,306,exact_term,Changed,g3; g4,-,Exact same AE term in both versions.
M0114,Carbon monoxide diffusing capacity decreased,Investigations,85,Carbon monoxide diffusing capacity decreased,Investigations,165,exact_term,Changed,g1; g2; definition; note,-,Exact same AE term in both versions.
M0115,Cardiac arrest,Cardiac disorders,7,Cardiac arrest,Cardiac disorders,12,exact_term,Same,-,-,Exact same AE term in both versions.
M0116,"Cardiac disorders - Other, specify",Cardiac disorders,11,"Cardiac disorders - Other, specify",Cardiac disorders,12,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0117,Cardiac troponin I increased,Investigations,86,-,-,-,v5_only,v5 only,-,-,-
M0118,Cardiac troponin T increased,Investigations,86,-,-,-,v5_only,v5 only,-,-,-
M0119,Cataract,Eye disorders,18,Cataract,Eye disorders,33,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0120,Catheter related infection,Infections and infestations,54,Catheter related infection,Infections and infestations,107,exact_term,Changed,definition; note,-,Exact same AE term in both versions.
M0121,CD4 lymphocytes decreased,Investigations,86,CD4 lymphocytes decreased,Investigations,165,exact_term,Changed,g1; g2; g3; g4; definition,-,Exact same AE term in both versions.
M0122,Cecal hemorrhage,Gastrointestinal disorders,26,Cecal hemorrhage,Gastrointestinal disorders,47,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0123,Cecal infection,Infections and infestations,55,Cecal infection,Infections and infestations,107,exact_term,Same,-,-,Exact same AE term in both versions.
M0124,Central nervous system necrosis,Nervous system disorders,105,Central nervous system necrosis,Nervous system disorders,208,exact_term,Same,-,-,Exact same AE term in both versions.
M0125,-,-,-,Cerebral venous sinus thrombosis,Nervous system disorders,209,v6_only,v6 only,-,-,-
M0126,Cerebrospinal fluid leakage,Nervous system disorders,105,Cerebrospinal fluid leakage,Nervous system disorders,209,exact_term,Changed,g1; g2,-,Exact same AE term in both versions.
M0127,Cervicitis infection,Infections and infestations,55,Cervicitis infection,Infections and infestations,107,exact_term,Same,-,-,Exact same AE term in both versions.
M0128,Cheilitis,Gastrointestinal disorders,26,Cheilitis,Gastrointestinal disorders,48,exact_term,Changed,g1; g2; g3,-,Exact same AE term in both versions.
M0129,Chest pain - cardiac,Cardiac disorders,7,Chest pain - cardiac,Cardiac disorders,13,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0130,Chest wall necrosis,Musculoskeletal and connective tissue disorders,96,Chest wall necrosis,Musculoskeletal and connective tissue disorders,185,exact_term,Same,-,-,Exact same AE term in both versions.
M0131,Chest wall pain,Musculoskeletal and connective tissue disorders,96,Chest wall pain,Musculoskeletal and connective tissue disorders,186,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0132,Chills,General disorders and administration site conditions,44,Chills,General disorders and administration site conditions,83,exact_term,Changed,note,-,Exact same AE term in both versions.
M0133,Cholecystitis,Hepatobiliary disorders,48,Cholecystitis,Hepatobiliary disorders,93,exact_term,Same,-,-,Exact same AE term in both versions.
M0134,Cholesterol high,Investigations,86,Cholesterol high,Investigations,166,exact_term,Same,-,-,Exact same AE term in both versions.
M0135,Chronic kidney disease,Renal and urinary disorders,119,Chronic kidney disease,Renal and urinary disorders,242,exact_term,Changed,g2; g3; definition,-,Exact same AE term in both versions.
M0136,Chylothorax,"Respiratory, thoracic and mediastinal disorders",133,Chylothorax,"Respiratory, thoracic and mediastinal disorders",271,exact_term,Same,-,-,Exact same AE term in both versions.
M0137,Chylous ascites,Gastrointestinal disorders,26,Chylous ascites,Gastrointestinal disorders,48,exact_term,Same,-,-,Exact same AE term in both versions.
M0138,Cognitive disturbance,Nervous system disorders,105,Cognitive disturbance,Nervous system disorders,209,exact_term,Changed,note,-,Exact same AE term in both versions.
M0139,Colitis,Gastrointestinal disorders,26,Colitis,Gastrointestinal disorders,48,exact_term,Same,-,-,Exact same AE term in both versions.
M0140,Colonic fistula,Gastrointestinal disorders,26,Colonic fistula,Gastrointestinal disorders,49,exact_term,Same,-,-,Exact same AE term in both versions.
M0141,Colonic hemorrhage,Gastrointestinal disorders,26,-,-,-,v5_only,v5 only,-,-,-
M0142,Colonic obstruction,Gastrointestinal disorders,27,Colonic obstruction,Gastrointestinal disorders,49,exact_term,Same,-,-,Exact same AE term in both versions.
M0143,Colonic perforation,Gastrointestinal disorders,27,Colonic perforation,Gastrointestinal disorders,49,exact_term,Changed,note,-,Exact same AE term in both versions.
M0144,Colonic stenosis,Gastrointestinal disorders,27,Colonic stenosis,Gastrointestinal disorders,50,exact_term,Same,-,-,Exact same AE term in both versions.
M0145,Colonic ulcer,Gastrointestinal disorders,27,Colonic ulcer,Gastrointestinal disorders,50,exact_term,Same,-,-,Exact same AE term in both versions.
M0146,Concentration impairment,Nervous system disorders,105,Concentration impairment,Nervous system disorders,210,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0147,Conduction disorder,Cardiac disorders,7,-,-,-,v5_only,v5 only,-,-,-
M0148,Confusion,Psychiatric disorders,115,Confusion,Psychiatric disorders,235,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0149,"Congenital, familial and genetic disorders - Other, specify","Congenital, familial and genetic disorders",12,"Congenital, familial and genetic disorders - Other, specify","Congenital, familial and genetic disorders",22,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0150,Conjunctivitis,Infections and infestations,55,Conjunctivitis,Infections and infestations,108,exact_term,Changed,g3; note,-,Exact same AE term in both versions.
M0151,Conjunctivitis infective,Infections and infestations,55,Conjunctivitis infective,Infections and infestations,108,exact_term,Same,-,-,Exact same AE term in both versions.
M0152,Constipation,Gastrointestinal disorders,27,Constipation,Gastrointestinal disorders,50,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0153,Corneal infection,Infections and infestations,55,Corneal infection,Infections and infestations,108,exact_term,Same,-,-,Exact same AE term in both versions.
M0154,Corneal ulcer,Eye disorders,18,Corneal ulcer,Eye disorders,34,exact_term,Same,-,-,Exact same AE term in both versions.
M0155,Cough,"Respiratory, thoracic and mediastinal disorders",133,Cough,"Respiratory, thoracic and mediastinal disorders",271,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0156,CPK increased,Investigations,86,-,-,-,v5_only,v5 only,-,-,-
M0157,Cranial nerve infection,Infections and infestations,56,Cranial nerve infection,Infections and infestations,109,exact_term,Same,-,-,Exact same AE term in both versions.
M0158,-,-,-,Creatinine clearance decreased,Investigations,166,v6_only,v6 only,-,-,-
M0159,Creatinine increased,Investigations,86,Creatinine increased,Investigations,166,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0160,Cushingoid,Endocrine disorders,15,Cushingoid,Endocrine disorders,27,exact_term,Same,-,-,Exact same AE term in both versions.
M0161,Cyanosis,Cardiac disorders,7,Cyanosis,Vascular disorders,306,exact_term,Changed,soc,-,Exact same AE term in both versions.
M0162,Cystitis noninfective,Renal and urinary disorders,119,Cystitis noninfective,Renal and urinary disorders,242,exact_term,Changed,g2,-,Exact same AE term in both versions.
M0163,Cytokine release syndrome,Immune system disorders,51,Cytokine release syndrome,Immune system disorders,100,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0164,Cytomegalovirus infection reactivation,Infections and infestations,56,Cytomegalovirus infection reactivation,Infections and infestations,109,exact_term,Same,-,-,Exact same AE term in both versions.
M0165,Death neonatal,General disorders and administration site conditions,44,Death neonatal,General disorders and administration site conditions,83,exact_term,Same,-,-,Exact same AE term in both versions.
M0166,Death NOS,General disorders and administration site conditions,44,Death NOS,General disorders and administration site conditions,83,exact_term,Same,-,-,Exact same AE term in both versions.
M0167,-,-,-,Decreased night vision,Eye disorders,34,v6_only,v6 only,-,Night blindness,Possible terminology update; not auto-merged.
M0168,Dehydration,Metabolism and nutrition disorders,91,Dehydration,Metabolism and nutrition disorders,175,exact_term,Same,-,-,Exact same AE term in both versions.
M0169,Delayed orgasm,Psychiatric disorders,115,Delayed orgasm,Psychiatric disorders,235,exact_term,Same,-,-,Exact same AE term in both versions.
M0170,Delayed puberty,Endocrine disorders,15,Delayed puberty,Endocrine disorders,27,exact_term,Same,-,-,Exact same AE term in both versions.
M0171,Delirium,Psychiatric disorders,115,Delirium,Psychiatric disorders,235,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0172,Delusions,Psychiatric disorders,115,Delusions,Psychiatric disorders,236,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0173,Dental caries,Gastrointestinal disorders,27,Dental caries,Gastrointestinal disorders,51,exact_term,Same,-,-,Exact same AE term in both versions.
M0174,Depressed level of consciousness,Nervous system disorders,106,Depressed level of consciousness,Nervous system disorders,210,exact_term,Changed,g2; note,-,Exact same AE term in both versions.
M0175,Depression,Psychiatric disorders,116,Depression,Psychiatric disorders,236,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0176,-,-,-,Dermatitis psoriasiform,Skin and subcutaneous tissue disorders,290,v6_only,v6 only,-,-,-
M0177,Dermatitis radiation,"Injury, poisoning and procedural complications",71,Dermatitis radiation,"Injury, poisoning and procedural complications",135,exact_term,Same,-,-,Exact same AE term in both versions.
M0178,-,-,-,Dermatosis bullous,Skin and subcutaneous tissue disorders,291,v6_only,v6 only,-,Bullous dermatitis,Possible terminology update; not auto-merged.
M0179,Device related infection,Infections and infestations,56,Device related infection,Infections and infestations,109,exact_term,Changed,note,-,Exact same AE term in both versions.
M0180,-,-,-,Diabetes mellitus,Metabolism and nutrition disorders,175,v6_only,v6 only,-,-,-
M0181,Diarrhea,Gastrointestinal disorders,28,Diarrhea,Gastrointestinal disorders,51,exact_term,Changed,g1; g2; g3; note,-,Exact same AE term in both versions.
M0182,-,-,-,Differentiation syndrome,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",201,v6_only,v6 only,-,-,-
M0183,Disease progression,General disorders and administration site conditions,44,Disease progression,General disorders and administration site conditions,83,exact_term,Same,-,-,Exact same AE term in both versions.
M0184,Disseminated intravascular coagulation,Blood and lymphatic system disorders,4,Disseminated intravascular coagulation,Blood and lymphatic system disorders,5,exact_term,Same,-,-,Exact same AE term in both versions.
M0185,Dizziness,Nervous system disorders,106,Dizziness,Nervous system disorders,210,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0186,Dry eye,Eye disorders,18,Dry eye,Eye disorders,35,exact_term,Changed,g1; g3; note,-,Exact same AE term in both versions.
M0187,Dry mouth,Gastrointestinal disorders,28,Dry mouth,Gastrointestinal disorders,52,exact_term,Changed,note,-,Exact same AE term in both versions.
M0188,Dry skin,Skin and subcutaneous tissue disorders,142,Dry skin,Skin and subcutaneous tissue disorders,291,exact_term,Changed,g1; g2; g3,-,Exact same AE term in both versions.
M0189,Duodenal fistula,Gastrointestinal disorders,28,Duodenal fistula,Gastrointestinal disorders,52,exact_term,Same,-,-,Exact same AE term in both versions.
M0190,Duodenal hemorrhage,Gastrointestinal disorders,28,Duodenal hemorrhage,Gastrointestinal disorders,52,exact_term,Changed,g3; note,-,Exact same AE term in both versions.
M0191,Duodenal infection,Infections and infestations,56,Duodenal infection,Infections and infestations,110,exact_term,Same,-,-,Exact same AE term in both versions.
M0192,Duodenal obstruction,Gastrointestinal disorders,28,Duodenal obstruction,Gastrointestinal disorders,53,exact_term,Same,-,-,Exact same AE term in both versions.
M0193,Duodenal perforation,Gastrointestinal disorders,29,Duodenal perforation,Gastrointestinal disorders,53,exact_term,Changed,note,-,Exact same AE term in both versions.
M0194,Duodenal stenosis,Gastrointestinal disorders,29,Duodenal stenosis,Gastrointestinal disorders,53,exact_term,Same,-,-,Exact same AE term in both versions.
M0195,Duodenal ulcer,Gastrointestinal disorders,29,Duodenal ulcer,Gastrointestinal disorders,54,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0196,Dysarthria,Nervous system disorders,106,Dysarthria,Nervous system disorders,211,exact_term,Changed,note,-,Exact same AE term in both versions.
M0197,Dysesthesia,Nervous system disorders,106,Dysesthesia,Nervous system disorders,211,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0198,Dysgeusia,Nervous system disorders,106,Dysgeusia,Nervous system disorders,211,exact_term,Same,-,-,Exact same AE term in both versions.
M0199,Dysmenorrhea,Reproductive system and breast disorders,123,Dysmenorrhea,Reproductive system and breast disorders,252,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0200,Dyspareunia,Reproductive system and breast disorders,123,Dyspareunia,Reproductive system and breast disorders,252,exact_term,Same,-,-,Exact same AE term in both versions.
M0201,Dyspepsia,Gastrointestinal disorders,29,Dyspepsia,Gastrointestinal disorders,54,exact_term,Changed,note,-,Exact same AE term in both versions.
M0202,Dysphagia,Gastrointestinal disorders,29,Dysphagia,Gastrointestinal disorders,54,exact_term,Same,-,-,Exact same AE term in both versions.
M0203,Dysphasia,Nervous system disorders,106,Dysphasia,Nervous system disorders,212,exact_term,Changed,g4; note,-,Exact same AE term in both versions.
M0204,Dyspnea,"Respiratory, thoracic and mediastinal disorders",133,Dyspnea,"Respiratory, thoracic and mediastinal disorders",272,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0205,Dysuria,Renal and urinary disorders,119,Dysuria,Renal and urinary disorders,243,exact_term,Changed,note,-,Exact same AE term in both versions.
M0206,"Ear and labyrinth disorders - Other, specify",Ear and labyrinth disorders,14,"Ear and labyrinth disorders - Other, specify",Ear and labyrinth disorders,23,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0207,Ear pain,Ear and labyrinth disorders,13,Ear pain,Ear and labyrinth disorders,23,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0208,Eczema,Skin and subcutaneous tissue disorders,142,-,-,-,v5_only,v5 only,-,Eczematous dermatitis,Possible terminology update; not auto-merged.
M0209,-,-,-,Eczematous dermatitis,Skin and subcutaneous tissue disorders,291,v6_only,v6 only,-,Eczema,Possible terminology update; not auto-merged.
M0210,Edema cerebral,Nervous system disorders,106,Edema cerebral,Nervous system disorders,212,exact_term,Changed,g1; g3; note,-,Exact same AE term in both versions.
M0211,Edema face,General disorders and administration site conditions,44,Edema face,General disorders and administration site conditions,84,exact_term,Changed,g1; g2; g3; definition; note,-,Exact same AE term in both versions.
M0212,Edema limbs,General disorders and administration site conditions,44,-,-,-,v5_only,v5 only,-,Peripheral edema,Possible related edema terminology; not auto-merged.
M0213,Edema trunk,General disorders and administration site conditions,45,-,-,-,v5_only,v5 only,-,-,-
M0214,Ejaculation disorder,Reproductive system and breast disorders,123,Ejaculation disorder,Reproductive system and breast disorders,252,exact_term,Same,-,-,Exact same AE term in both versions.
M0215,Ejection fraction decreased,Investigations,87,-,-,-,v5_only,v5 only,-,Left ventricular dysfunction,Related cardiac function concept; v6 uses specific LVEF criteria under left ventricular dysfunction. Not auto-merged.
M0216,Electrocardiogram QT corrected interval prolonged,Investigations,87,Electrocardiogram QT corrected interval prolonged,Investigations,166,exact_term,Changed,g3; g4; note,-,Exact same AE term in both versions.
M0217,Electrocardiogram T wave abnormal,Investigations,87,-,-,-,v5_only,v5 only,-,-,-
M0218,-,-,-,Encephalitis,Infections and infestations,110,v6_only,v6 only,-,-,-
M0219,Encephalitis infection,Infections and infestations,56,-,-,-,v5_only,v5 only,-,-,-
M0220,-,-,-,Encephalomyelitis,Infections and infestations,110,v6_only,v6 only,-,-,-
M0221,Encephalomyelitis infection,Infections and infestations,57,-,-,-,v5_only,v5 only,-,-,-
M0222,Encephalopathy,Nervous system disorders,107,Encephalopathy,Nervous system disorders,212,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0223,Endocarditis infective,Infections and infestations,57,Endocarditis infective,Infections and infestations,111,exact_term,Same,-,-,Exact same AE term in both versions.
M0224,"Endocrine disorders - Other, specify",Endocrine disorders,17,"Endocrine disorders - Other, specify",Endocrine disorders,28,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0225,Endophthalmitis,Infections and infestations,57,Endophthalmitis,Infections and infestations,111,exact_term,Same,-,-,Exact same AE term in both versions.
M0226,Enterocolitis,Gastrointestinal disorders,29,Enterocolitis,Gastrointestinal disorders,55,exact_term,Same,-,-,Exact same AE term in both versions.
M0227,Enterocolitis infectious,Infections and infestations,57,Enterocolitis infectious,Infections and infestations,111,exact_term,Changed,definition; note,-,Exact same AE term in both versions.
M0228,Enterovesical fistula,Gastrointestinal disorders,30,Enterovesical fistula,Gastrointestinal disorders,55,exact_term,Same,-,-,Exact same AE term in both versions.
M0229,Eosinophilia,Blood and lymphatic system disorders,4,Eosinophilia,Blood and lymphatic system disorders,6,exact_term,Same,-,-,Exact same AE term in both versions.
M0230,Epistaxis,"Respiratory, thoracic and mediastinal disorders",133,Epistaxis,"Respiratory, thoracic and mediastinal disorders",272,exact_term,Same,-,-,Exact same AE term in both versions.
M0231,Epstein-Barr virus infection reactivation,Infections and infestations,57,Epstein-Barr virus infection reactivation,Infections and infestations,112,exact_term,Same,-,-,Exact same AE term in both versions.
M0232,Erectile dysfunction,Reproductive system and breast disorders,124,Erectile dysfunction,Reproductive system and breast disorders,253,exact_term,Same,-,-,Exact same AE term in both versions.
M0233,Erythema multiforme,Skin and subcutaneous tissue disorders,143,Erythema multiforme,Skin and subcutaneous tissue disorders,292,exact_term,Changed,g1; g2; g3; g4,-,Exact same AE term in both versions.
M0234,Erythroderma,Skin and subcutaneous tissue disorders,143,Erythroderma,Skin and subcutaneous tissue disorders,292,exact_term,Changed,g2; g3; definition,-,Exact same AE term in both versions.
M0235,Esophageal anastomotic leak,"Injury, poisoning and procedural complications",71,Esophageal anastomotic leak,"Injury, poisoning and procedural complications",136,exact_term,Same,-,-,Exact same AE term in both versions.
M0236,Esophageal fistula,Gastrointestinal disorders,30,Esophageal fistula,Gastrointestinal disorders,55,exact_term,Same,-,-,Exact same AE term in both versions.
M0237,Esophageal hemorrhage,Gastrointestinal disorders,30,Esophageal hemorrhage,Gastrointestinal disorders,55,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0238,Esophageal infection,Infections and infestations,58,Esophageal infection,Infections and infestations,112,exact_term,Same,-,-,Exact same AE term in both versions.
M0239,Esophageal necrosis,Gastrointestinal disorders,30,Esophageal necrosis,Gastrointestinal disorders,56,exact_term,Same,-,-,Exact same AE term in both versions.
M0240,Esophageal obstruction,Gastrointestinal disorders,30,Esophageal obstruction,Gastrointestinal disorders,56,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0241,Esophageal pain,Gastrointestinal disorders,30,Esophageal pain,Gastrointestinal disorders,56,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0242,Esophageal perforation,Gastrointestinal disorders,30,Esophageal perforation,Gastrointestinal disorders,57,exact_term,Same,-,-,Exact same AE term in both versions.
M0243,Esophageal stenosis,Gastrointestinal disorders,31,Esophageal stenosis,Gastrointestinal disorders,57,exact_term,Same,-,-,Exact same AE term in both versions.
M0244,Esophageal ulcer,Gastrointestinal disorders,31,Esophageal ulcer,Gastrointestinal disorders,57,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0245,Esophageal varices hemorrhage,Gastrointestinal disorders,31,Esophageal varices hemorrhage,Gastrointestinal disorders,58,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0246,Esophagitis,Gastrointestinal disorders,31,Esophagitis,Gastrointestinal disorders,58,exact_term,Same,-,-,Exact same AE term in both versions.
M0247,Euphoria,Psychiatric disorders,116,Euphoria,Psychiatric disorders,236,exact_term,Same,-,-,Exact same AE term in both versions.
M0248,-,-,-,Exfoliative dermatitis,Skin and subcutaneous tissue disorders,292,v6_only,v6 only,-,-,-
M0249,Exostosis,Musculoskeletal and connective tissue disorders,96,Exostosis,Musculoskeletal and connective tissue disorders,186,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0250,External ear pain,Ear and labyrinth disorders,13,External ear pain,Ear and labyrinth disorders,24,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0251,Extraocular muscle paresis,Eye disorders,19,Extraocular muscle paresis,Eye disorders,35,exact_term,Same,-,-,Exact same AE term in both versions.
M0252,Extrapyramidal disorder,Nervous system disorders,107,Extrapyramidal disorder,Nervous system disorders,213,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0253,"Eye disorders - Other, specify",Eye disorders,23,"Eye disorders - Other, specify",Eye disorders,36,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0254,Eye infection,Infections and infestations,58,Eye infection,Infections and infestations,112,exact_term,Same,-,-,Exact same AE term in both versions.
M0255,Eye pain,Eye disorders,19,Eye pain,Eye disorders,36,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0256,Eyelid function disorder,Eye disorders,19,Eyelid function disorder,Eye disorders,37,exact_term,Changed,g1; g2; g3,-,Exact same AE term in both versions.
M0257,Facial muscle weakness,Nervous system disorders,107,Facial muscle weakness,Nervous system disorders,213,exact_term,Changed,g1; g2; g3; note,-,Exact same AE term in both versions.
M0258,Facial nerve disorder,Nervous system disorders,107,Facial nerve disorder,Nervous system disorders,213,exact_term,Changed,g1; g2; g3,-,Exact same AE term in both versions.
M0259,Facial pain,General disorders and administration site conditions,45,Facial pain,General disorders and administration site conditions,84,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0260,-,-,-,Failure to thrive,Metabolism and nutrition disorders,176,v6_only,v6 only,-,-,-
M0261,Fall,"Injury, poisoning and procedural complications",71,Fall,"Injury, poisoning and procedural complications",136,exact_term,Same,-,-,Exact same AE term in both versions.
M0262,Fallopian tube anastomotic leak,"Injury, poisoning and procedural complications",71,Fallopian tube anastomotic leak,"Injury, poisoning and procedural complications",136,exact_term,Changed,g1,-,Exact same AE term in both versions.
M0263,Fallopian tube obstruction,Reproductive system and breast disorders,124,Fallopian tube obstruction,Reproductive system and breast disorders,253,exact_term,Same,-,-,Exact same AE term in both versions.
M0264,Fallopian tube perforation,"Injury, poisoning and procedural complications",72,Fallopian tube perforation,"Injury, poisoning and procedural complications",137,exact_term,Same,-,-,Exact same AE term in both versions.
M0265,Fat atrophy,Skin and subcutaneous tissue disorders,143,-,-,-,v5_only,v5 only,-,-,-
M0266,Fatigue,General disorders and administration site conditions,45,Fatigue,General disorders and administration site conditions,84,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0267,Febrile neutropenia,Blood and lymphatic system disorders,4,Febrile neutropenia,Blood and lymphatic system disorders,6,exact_term,Same,-,-,Exact same AE term in both versions.
M0268,Fecal incontinence,Gastrointestinal disorders,31,Fecal incontinence,Gastrointestinal disorders,58,exact_term,Same,-,-,Exact same AE term in both versions.
M0269,Feminization acquired,Reproductive system and breast disorders,124,Feminization acquired,Reproductive system and breast disorders,253,exact_term,Same,-,-,Exact same AE term in both versions.
M0270,Fetal growth retardation,"Pregnancy, puerperium and perinatal conditions",114,Fetal growth retardation,"Pregnancy, puerperium and perinatal conditions",232,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0271,Fever,General disorders and administration site conditions,45,Fever,General disorders and administration site conditions,85,exact_term,Changed,note,-,Exact same AE term in both versions.
M0272,Fibrinogen decreased,Investigations,87,Fibrinogen decreased,Investigations,167,exact_term,Same,-,-,Exact same AE term in both versions.
M0273,Fibrosis deep connective tissue,Musculoskeletal and connective tissue disorders,96,Fibrosis deep connective tissue,Musculoskeletal and connective tissue disorders,187,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0274,Flank pain,Musculoskeletal and connective tissue disorders,96,Flank pain,Musculoskeletal and connective tissue disorders,187,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0275,Flashing lights,Eye disorders,19,Flashing lights,Eye disorders,37,exact_term,Changed,g1; g2; g3; note,-,Exact same AE term in both versions.
M0276,Flatulence,Gastrointestinal disorders,31,Flatulence,Gastrointestinal disorders,58,exact_term,Same,-,-,Exact same AE term in both versions.
M0277,Floaters,Eye disorders,19,Floaters,Eye disorders,37,exact_term,Changed,g1; g2; g3; note,-,Exact same AE term in both versions.
M0278,Flu like symptoms,General disorders and administration site conditions,45,Flu like symptoms,General disorders and administration site conditions,85,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0279,Flushing,Vascular disorders,152,Flushing,Vascular disorders,307,exact_term,Changed,g1; g2; g3,-,Exact same AE term in both versions.
M0280,Folliculitis,Infections and infestations,58,Folliculitis,Infections and infestations,113,exact_term,Changed,g1; g2; g3,-,Exact same AE term in both versions.
M0281,Forced expiratory volume decreased,Investigations,87,Forced expiratory volume decreased,Investigations,167,exact_term,Changed,g1; g2; g3; g4; note,-,Exact same AE term in both versions.
M0282,Fracture,"Injury, poisoning and procedural complications",72,Fracture,"Injury, poisoning and procedural complications",137,exact_term,Changed,g3; definition; note,-,Exact same AE term in both versions.
M0283,Fungemia,Infections and infestations,58,Fungemia,Infections and infestations,113,exact_term,Same,-,-,Exact same AE term in both versions.
M0284,Gait disturbance,General disorders and administration site conditions,45,Gait disturbance,General disorders and administration site conditions,85,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0285,Gallbladder fistula,Hepatobiliary disorders,48,Gallbladder fistula,Hepatobiliary disorders,93,exact_term,Same,-,-,Exact same AE term in both versions.
M0286,Gallbladder infection,Infections and infestations,58,Gallbladder infection,Infections and infestations,113,exact_term,Same,-,-,Exact same AE term in both versions.
M0287,Gallbladder necrosis,Hepatobiliary disorders,48,Gallbladder necrosis,Hepatobiliary disorders,94,exact_term,Same,-,-,Exact same AE term in both versions.
M0288,Gallbladder obstruction,Hepatobiliary disorders,49,Gallbladder obstruction,Hepatobiliary disorders,94,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0289,Gallbladder pain,Hepatobiliary disorders,49,Gallbladder pain,Hepatobiliary disorders,94,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0290,Gallbladder perforation,Hepatobiliary disorders,49,Gallbladder perforation,Hepatobiliary disorders,95,exact_term,Same,-,-,Exact same AE term in both versions.
M0291,Gastric anastomotic leak,"Injury, poisoning and procedural complications",72,Gastric anastomotic leak,"Injury, poisoning and procedural complications",137,exact_term,Same,-,-,Exact same AE term in both versions.
M0292,Gastric fistula,Gastrointestinal disorders,32,Gastric fistula,Gastrointestinal disorders,59,exact_term,Same,-,-,Exact same AE term in both versions.
