map_id,v5_term,v5_soc,v5_page,v6_term,v6_soc,v6_page,map_type,change_flag,changed_fields,possible_counterpart_term,mapping_note
M0859,Vaginal hemorrhage,Reproductive system and breast disorders,129,Vaginal hemorrhage,Reproductive system and breast disorders,264,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0860,Vaginal infection,Infections and infestations,68,Vaginal infection,Infections and infestations,131,exact_term,Same,-,-,Exact same AE term in both versions.
M0861,Vaginal inflammation,Reproductive system and breast disorders,129,Vaginal inflammation,Reproductive system and breast disorders,264,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0862,Vaginal obstruction,Reproductive system and breast disorders,129,Vaginal obstruction,Reproductive system and breast disorders,265,exact_term,Same,-,-,Exact same AE term in both versions.
M0863,Vaginal pain,Reproductive system and breast disorders,129,Vaginal pain,Reproductive system and breast disorders,265,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0864,Vaginal perforation,Reproductive system and breast disorders,129,Vaginal perforation,Reproductive system and breast disorders,265,exact_term,Same,-,-,Exact same AE term in both versions.
M0865,Vaginal stricture,Reproductive system and breast disorders,129,Vaginal stricture,Reproductive system and breast disorders,266,exact_term,Same,-,-,Exact same AE term in both versions.
M0866,Vagus nerve disorder,Nervous system disorders,113,Vagus nerve disorder,Nervous system disorders,230,exact_term,Changed,g1; g2; g3; note,-,Exact same AE term in both versions.
M0867,Vas deferens anastomotic leak,"Injury, poisoning and procedural complications",82,Vas deferens anastomotic leak,"Injury, poisoning and procedural complications",160,exact_term,Same,-,-,Exact same AE term in both versions.
M0868,Vascular access complication,"Injury, poisoning and procedural complications",82,Vascular access complication,"Injury, poisoning and procedural complications",160,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0869,"Vascular disorders - Other, specify",Vascular disorders,155,"Vascular disorders - Other, specify",Vascular disorders,311,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0870,Vasculitis,Vascular disorders,155,Vasculitis,Vascular disorders,311,exact_term,Same,-,-,Exact same AE term in both versions.
M0871,Vasovagal reaction,Nervous system disorders,113,Vasovagal reaction,Nervous system disorders,231,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0872,Venous injury,"Injury, poisoning and procedural complications",83,Venous injury,"Injury, poisoning and procedural complications",160,exact_term,Changed,g3,-,Exact same AE term in both versions.
M0873,-,-,-,Venous thromboembolism,Vascular disorders,312,v6_only,v6 only,-,Thromboembolic event,Related thromboembolism terminology; not auto-merged.
M0874,Ventricular arrhythmia,Cardiac disorders,11,Ventricular arrhythmia,Cardiac disorders,20,exact_term,Same,-,-,Exact same AE term in both versions.
M0875,Ventricular fibrillation,Cardiac disorders,11,Ventricular fibrillation,Cardiac disorders,20,exact_term,Same,-,-,Exact same AE term in both versions.
M0876,Ventricular tachycardia,Cardiac disorders,11,Ventricular tachycardia,Cardiac disorders,21,exact_term,Same,-,-,Exact same AE term in both versions.
M0877,Vertigo,Ear and labyrinth disorders,14,Vertigo,Ear and labyrinth disorders,26,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0878,Vestibular disorder,Ear and labyrinth disorders,14,Vestibular disorder,Ear and labyrinth disorders,26,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0879,Viremia,Infections and infestations,68,Viremia,Infections and infestations,131,exact_term,Same,-,-,Exact same AE term in both versions.
M0880,Virilization,Endocrine disorders,17,Virilization,Endocrine disorders,32,exact_term,Same,-,-,Exact same AE term in both versions.
M0881,Visceral arterial ischemia,Gastrointestinal disorders,43,Visceral arterial ischemia,Gastrointestinal disorders,81,exact_term,Same,-,-,Exact same AE term in both versions.
M0882,Vision decreased,Eye disorders,22,Vision decreased,Eye disorders,42,exact_term,Changed,note,-,Exact same AE term in both versions.
M0883,Vital capacity abnormal,Investigations,89,Vital capacity abnormal,Investigations,172,exact_term,Changed,g2; g3; definition; note,-,Exact same AE term in both versions.
M0884,-,-,-,Vitamin D decreased,Investigations,172,v6_only,v6 only,-,-,-
M0885,Vitreous hemorrhage,Eye disorders,22,Vitreous hemorrhage,Eye disorders,43,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0886,Voice alteration,"Respiratory, thoracic and mediastinal disorders",141,Voice alteration,"Respiratory, thoracic and mediastinal disorders",289,exact_term,Same,-,-,Exact same AE term in both versions.
M0887,Vomiting,Gastrointestinal disorders,43,Vomiting,Gastrointestinal disorders,82,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0888,Vulval infection,Infections and infestations,69,Vulval infection,Infections and infestations,132,exact_term,Same,-,-,Exact same AE term in both versions.
M0889,Watering eyes,Eye disorders,23,Watering eyes,Eye disorders,43,exact_term,Same,-,-,Exact same AE term in both versions.
M0890,Weight gain,Investigations,89,Weight gain,Investigations,172,exact_term,Changed,definition; note,-,Exact same AE term in both versions.
M0891,Weight loss,Investigations,89,Weight loss,Investigations,173,exact_term,Changed,g1,-,Exact same AE term in both versions.
M0892,Wheezing,"Respiratory, thoracic and mediastinal disorders",141,-,-,-,v5_only,v5 only,-,-,-
M0893,White blood cell decreased,Investigations,90,White blood cell decreased,Investigations,173,exact_term,Changed,g1; g2; g3; g4; definition,-,Exact same AE term in both versions.
M0894,Wound complication,"Injury, poisoning and procedural complications",83,Wound complication,"Injury, poisoning and procedural complications",161,exact_term,Changed,note,-,Exact same AE term in both versions.
M0895,Wound dehiscence,"Injury, poisoning and procedural complications",83,Wound dehiscence,"Injury, poisoning and procedural complications",161,exact_term,Changed,note,-,Exact same AE term in both versions.
M0896,Wound infection,Infections and infestations,69,Wound infection,Infections and infestations,132,exact_term,Same,-,-,Exact same AE term in both versions.
M0897,Wrist fracture,"Injury, poisoning and procedural complications",83,-,-,-,v5_only,v5 only,-,-,-
