term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Anemia,Blood and lymphatic system disorders,CTCAE v5.0,,Hemoglobin (Hgb) <LLN - 10.0 g/dL; <LLN - 6.2 mmol/L; <LLN - 100 g/L,Hgb <10.0 - 8.0 g/dL; <6.2 - 4.9 mmol/L; <100 - 80g/L,Hgb <8.0 g/dL; <4.9 mmol/L; <80 g/L; transfusion indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a reduction in the amount of hemoglobin in 100 ml of blood. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability.",-,4
Bone marrow hypocellular,Blood and lymphatic system disorders,CTCAE v5.0,,Mildly hypocellular or ≤25% reduction from normal cellularity for age,Moderately hypocellular or >25 - <50% reduction from normal cellularity for age,Severely hypocellular or >50 - ≤75% reduction cellularity from normal for age,Aplastic persistent for longer than 2 weeks,Death,A disorder characterized by the inability of the bone marrow to produce hematopoietic elements.,-,4
Disseminated intravascular coagulation,Blood and lymphatic system disorders,CTCAE v5.0,,-,Laboratory findings with no bleeding,Laboratory findings and bleeding,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by systemic pathological activation of blood clotting mechanisms which results in clot formation throughout the body. There is an increase in the risk of hemorrhage as the body is depleted of platelets and coagulation factors.,-,4
Eosinophilia,Blood and lymphatic system disorders,CTCAE v5.0,,>ULN and >Baseline,-,Steroids initiated,-,-,A disorder characterized by laboratory test results that indicate an increased number of eosinophils in the blood.,-,4
Febrile neutropenia,Blood and lymphatic system disorders,CTCAE v5.0,,-,-,ANC <1000/mm3 with a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of ≥38 degrees C (100.4 degrees F) for more than one hour,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an ANC <1000/mm3 and a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of ≥38 degrees C (100.4 degrees F) for more than one hour.,-,4
Hemolysis,Blood and lymphatic system disorders,CTCAE v5.0,,"Laboratory evidence of hemolysis only (e.g., direct antiglobulin test; DAT; Coombs'; schistocytes; decreased haptoglobin)",Evidence of hemolysis and ≥2 g decrease in hemoglobin,"Transfusion or medical intervention indicated (e.g., steroids)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate widespread erythrocyte cell membrane destruction.,-,4
Hemolytic uremic syndrome,Blood and lymphatic system disorders,CTCAE v5.0,,-,-,"Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae)","Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure)",Death,"A disorder characterized by a form of thrombotic microangiopathy with renal failure, hemolytic anemia, and severe thrombocytopenia.",-,5
Leukocytosis,Blood and lymphatic system disorders,CTCAE v5.0,,-,-,">100,000/mm3",Clinical manifestations of leucostasis; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate an increased number of white blood cells in the blood.,-,5
Lymph node pain,Blood and lymphatic system disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in a lymph node.,-,5
Methemoglobinemia,Blood and lymphatic system disorders,CTCAE v5.0,,-,>ULN,Requiring urgent intervention,Life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate increased methemoglobin in the blood.,-,5
Thrombotic thrombocytopenic purpura,Blood and lymphatic system disorders,CTCAE v5.0,,-,-,"Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae)","Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure)",Death,"A disorder characterized by the presence of microangiopathic hemolytic anemia, thrombocytopenic purpura, fever, renal abnormalities and neurological abnormalities such as seizures, hemiplegia, and visual disturbances. It is an acute or subacute condition.",-,5
"Blood and lymphatic system disorders - Other, specify",Blood and lymphatic system disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,-,-,5
Aortic valve disease,Cardiac disorders,CTCAE v5.0,,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in aortic valve function or structure.,-,6
Asystole,Cardiac disorders,CTCAE v5.0,,Periods of asystole; non- urgent medical management indicated,-,-,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a dysrhythmia without cardiac electrical activity. Typically, this is accompanied by cessation of the pumping function of the heart.",-,6
Atrial fibrillation,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation; new onset",Life-threatening consequences; embolus requiring urgent intervention,Death,A disorder characterized by a dysrhythmia without discernible P waves and an irregular ventricular response due to multiple reentry circuits. The rhythm disturbance originates above the ventricles.,-,6
Atrial flutter,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation",Life-threatening consequences; embolus requiring urgent intervention,Death,A disorder characterized by a dysrhythmia with organized rhythmic atrial contractions with a rate of 200-300 beats per minute. The rhythm disturbance originates in the atria.,-,6
Atrioventricular block complete,Cardiac disorders,CTCAE v5.0,,-,Non-urgent intervention indicated,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with complete failure of atrial electrical impulse conduction through the AV node to the ventricles.,-,6
Atrioventricular block first degree,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated",Non-urgent intervention indicated,-,-,-,A disorder characterized by a dysrhythmia with a delay in the time required for the conduction of an electrical impulse through the atrioventricular (AV) node beyond 0.2 seconds; prolongation of the PR interval greater than 200 milliseconds.,-,7
Cardiac arrest,Cardiac disorders,CTCAE v5.0,,-,-,-,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by cessation of the pumping function of the heart.,-,7
Chest pain - cardiac,Cardiac disorders,CTCAE v5.0,,Mild pain,Moderate pain; pain on exertion; limiting instrumental ADL; hemodynamically stable,Pain at rest; limiting self care ADL; cardiac catheterization; new onset cardiac chest pain; unstable angina,-,-,"A disorder characterized by substernal discomfort due to insufficient myocardial oxygenation e.g., angina pectoris.",Also consider Cardiac disorders: Myocardial infarction.,7
Conduction disorder,Cardiac disorders,CTCAE v5.0,,Mild symptoms; intervention not indicated,Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated",Life-threatening consequences,Death,A disorder characterized by pathological irregularities in the cardiac conduction system.,-,7
Cyanosis,Cardiac disorders,CTCAE v5.0,,-,Present,-,-,-,A disorder characterized by a bluish discoloration of the skin and/or mucous membranes.,-,7
Heart failure,Cardiac disorders,CTCAE v5.0,,"Asymptomatic with laboratory (e.g., BNP [B-Natriuretic Peptide ]) or cardiac imaging abnormalities",Symptoms with moderate activity or exertion,Symptoms at rest or with minimal activity or exertion; hospitalization; new onset of symptoms,"Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support)",Death,"A disorder characterized by the inability of the heart to pump blood at an adequate volume to meet tissue metabolic requirements, or, the ability to do so only at an elevation in the filling pressure.","If left sided use Cardiac disorders: Left ventricular systolic dysfunction; also consider Cardiac disorders: Restrictive cardiomyopathy, Investigations: Ejection fraction decreased.",7
Left ventricular systolic dysfunction,Cardiac disorders,CTCAE v5.0,,-,-,Symptomatic due to drop in ejection fraction responsive to intervention,"Refractory or poorly controlled heart failure due to drop in ejection fraction; intervention such as ventricular assist device, intravenous vasopressor support, or heart transplant indicated",Death,A disorder characterized by failure of the left ventricle to produce adequate output.,Also consider Investigations: Ejection fraction decreased.,8
Mitral valve disease,Cardiac disorders,CTCAE v5.0,,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in mitral valve function or structure.,-,8
Mobitz (type) II atrioventricular block,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated",Symptomatic; medical intervention indicated,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with relatively constant PR interval prior to the block of an atrial impulse. This is the result of intermittent failure of atrial electrical impulse conduction through the atrioventricular (AV) node to the ventricles.,-,8
Mobitz type I,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated",Symptomatic; medical intervention indicated,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with a progressively lengthening PR interval prior to the blocking of an atrial impulse. This is the result of intermittent failure of atrial electrical impulse conduction through the atrioventricular (AV) node to the ventricles.,-,8
Myocardial infarction,Cardiac disorders,CTCAE v5.0,,-,Asymptomatic and cardiac enzymes minimally abnormal and no evidence of ischemic ECG changes,Severe symptoms; cardiac enzymes abnormal; hemodynamically stable; ECG changes consistent with infarction,Life-threatening consequences; hemodynamically unstable,Death,A disorder characterized by gross necrosis of the myocardium; this is due to an interruption of blood supply to the area.,-,9
Myocarditis,Cardiac disorders,CTCAE v5.0,,-,Symptoms with moderate activity or exertion,Severe with symptoms at rest or with minimal activity or exertion; intervention indicated; new onset of symptoms,"Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support)",Death,A disorder characterized by inflammation of the muscle tissue of the heart.,-,9
Palpitations,Cardiac disorders,CTCAE v5.0,,Mild symptoms; intervention not indicated,Intervention indicated,-,-,-,A disorder characterized by an unpleasant sensation of irregular and/or forceful beating of the heart.,-,9
Paroxysmal atrial tachycardia,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated; ablation",Life-threatening consequences; incompletely controlled medically; cardioversion indicated,Death,A disorder characterized by a dysrhythmia with abrupt onset and sudden termination of atrial contractions with a rate of 150-250 beats per minute. The rhythm disturbance originates in the atria.,-,9
Pericardial effusion,Cardiac disorders,CTCAE v5.0,,-,Asymptomatic effusion size small to moderate,Effusion with physiologic consequences,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by fluid collection within the pericardial sac, usually due to inflammation.",-,9
Pericardial tamponade,Cardiac disorders,CTCAE v5.0,,-,-,-,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an increase in intrapericardial pressure due to the collection of blood or fluid in the pericardium.,-,9
Pericarditis,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, ECG or physical findings (e.g., rub) consistent with pericarditis","Symptomatic pericarditis (e.g., chest pain)","Pericarditis with physiologic consequences (e.g., pericardial constriction)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by irritation to the layers of the pericardium (the protective sac around the heart).,-,10
Pulmonary valve disease,Cardiac disorders,CTCAE v5.0,,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in pulmonary valve function or structure.,-,10
Restrictive cardiomyopathy,Cardiac disorders,CTCAE v5.0,,Imaging findings only,Symptomatic without signs of heart failure,"Symptomatic heart failure or other cardiac symptoms, responsive to intervention; new onset of symptoms",Refractory heart failure or other poorly controlled cardiac symptoms,Death,A disorder characterized by an inability of the ventricles to fill with blood because the myocardium (heart muscle) stiffens and loses its flexibility.,-,10
Right ventricular dysfunction,Cardiac disorders,CTCAE v5.0,,"Asymptomatic with laboratory (e.g., BNP [B-Natriuretic Peptide ]) or cardiac imaging abnormalities",Symptoms with moderate activity or exertion,"Severe symptoms, associated with hypoxia, right heart failure; oxygen indicated","Life-threatening consequences; urgent intervention indicated (e.g., ventricular assist device); heart transplant indicated",Death,A disorder characterized by impairment of right ventricular function associated with low ejection fraction and a decrease in motility of the right ventricular wall.,-,10
Sick sinus syndrome,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated","Symptomatic, intervention not indicated; change in medication initiated","Symptomatic, intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a dysrhythmia with alternating periods of bradycardia and atrial tachycardia accompanied by syncope, fatigue and dizziness.",-,10
Sinus bradycardia,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated","Symptomatic, intervention not indicated; change in medication initiated","Symptomatic, intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with a heart rate less than 60 beats per minute that originates in the sinus node.,-,10
Sinus tachycardia,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated",Symptomatic; non-urgent medical intervention indicated,Urgent medical intervention indicated,-,-,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates in the sinus node.,-,11
Supraventricular tachycardia,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated",Life-threatening consequences,Death,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates above the ventricles.,-,11
Tricuspid valve disease,Cardiac disorders,CTCAE v5.0,,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in tricuspid valve function or structure.,-,11
Ventricular arrhythmia,Cardiac disorders,CTCAE v5.0,,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,Urgent intervention indicated,Life-threatening consequences; hemodynamic compromise,Death,A disorder characterized by a dysrhythmia that originates in the ventricles.,-,11
Ventricular fibrillation,Cardiac disorders,CTCAE v5.0,,-,-,-,Life-threatening consequences; hemodynamic compromise,Death,A disorder characterized by a dysrhythmia without discernible QRS complexes due to rapid repetitive excitation of myocardial fibers without coordinated contraction of the ventricles.,-,11
Ventricular tachycardia,Cardiac disorders,CTCAE v5.0,,-,Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated",Life-threatening consequences; hemodynamic compromise,Death,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates distal to the bundle of His.,-,11
"Cardiac disorders - Other, specify",Cardiac disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,-,-,11
"Congenital, familial and genetic disorders - Other, specify","Congenital, familial and genetic disorders",CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,-,-,12
Ear pain,Ear and labyrinth disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the ear.,-,13
External ear pain,Ear and labyrinth disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the external ear region.,-,13
Hearing impaired,Ear and labyrinth disorders,CTCAE v5.0,,"Adults enrolled on a Monitoring Program (on a 1, 2, 4, 3, 6, and 8 kHz audiogram): Threshold shift of 15 - 25 dB averaged at 2 contiguous test frequencies in at least one ear; Adults not enrolled on a Monitoring Program: Subjective change in hearing in the absence of documented hearing loss; Pediatric (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Threshold shift >20 dB hearing loss (HL) (i.e., 25 dB HL or greater); sensorineural hearing loss (SNHL) above 4 kHz (i.e., 6 or 8 kHz) in at least one ear","Adults enrolled on a Monitoring Program (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Threshold shift of >25 dB averaged at 2 contiguous test frequencies in at least one ear; Adults not enrolled on a Monitoring Program: Hearing loss with hearing aid or intervention not indicated; limiting instrumental ADL; Pediatric (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Threshold shift >20 dB at 4 kHz in at least one ear","Adults enrolled on a Monitoring Program (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Threshold shift of >25 dB averaged at 3 contiguous test frequencies in at least one ear; therapeutic intervention indicated; Adults not enrolled on a Monitoring Program: Hearing loss with hearing aid or intervention indicated; limiting self care ADL; Pediatric (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Hearing loss sufficient to indicate therapeutic intervention, including hearing aids; threshold shift >20 dB at 2 to < 4 kHz in at least one ear","Adults: Decrease in hearing to profound bilateral loss (absolute threshold >80 dB HL at 2 kHz and above); nonservicable hearing Pediatric: Audiologic indication for cochlear implant; > 40 dB HL (i.e., 45 dB HL or more); SNHL at 2 kHz and above",-,A disorder characterized by partial or complete loss of the ability to detect or understand sounds resulting from damage to ear structures.,-,13
Middle ear inflammation,Ear and labyrinth disorders,CTCAE v5.0,,Serous otitis,"Serous otitis, medical intervention indicated",Mastoiditis; necrosis of canal soft tissue or bone,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by inflammation (physiologic response to irritation), swelling and redness to the middle ear.",-,14
Tinnitus,Ear and labyrinth disorders,CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL,-,-,"A disorder characterized by noise in the ears, such as ringing, buzzing, roaring or clicking.",-,14
Vertigo,Ear and labyrinth disorders,CTCAE v5.0,,Mild symptoms,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL,-,-,A disorder characterized by a sensation as if the external world were revolving around the patient (objective vertigo) or as if he himself were revolving in space (subjective vertigo).,-,14
Vestibular disorder,Ear and labyrinth disorders,CTCAE v5.0,,-,Symptomatic; limiting instrumental ADL,Severe symptoms; limiting self care ADL,-,-,"A disorder characterized by dizziness, imbalance, nausea, and vision problems.",-,14
"Ear and labyrinth disorders - Other, specify",Ear and labyrinth disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,-,-,14
Adrenal insufficiency,Endocrine disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe symptoms; hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by the adrenal cortex not producing enough of the hormone cortisol and in some cases, the hormone aldosterone. It may be due to a disorder of the adrenal cortex as in Addison's disease or primary adrenal insufficiency.",-,15
Cushingoid,Endocrine disorders,CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,"Severe symptoms, medical intervention or hospitalization indicated",-,-,"A disorder characterized by signs and symptoms that resemble Cushing's disease or syndrome: buffalo hump obesity, striations, adiposity, hypertension, diabetes, and osteoporosis, usually due to exogenous corticosteroids.",-,15
Delayed puberty,Endocrine disorders,CTCAE v5.0,,-,No breast development by age 13 yrs for females; testes volume of <3 cc or no Tanner Stage 2 development by age 14.5 yrs for males,No breast development by age 14 yrs for females; no increase in testes volume or no Tanner Stage 2 by age 16 yrs for males; hormone replacement indicated,-,-,A disorder characterized by unusually late sexual maturity.,-,15
Growth accelerated,Endocrine disorders,CTCAE v5.0,,-,≥ +2 SD (standard deviation) above mid parental height or target height,-,-,-,A disorder characterized by greater growth than expected for age.,-,15
Hyperparathyroidism,Endocrine disorders,CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,-,-,-,A disorder characterized by an increase in production of parathyroid hormone by the parathyroid glands. This results in hypercalcemia (abnormally high levels of calcium in the blood).,-,15
Hyperthyroidism,Endocrine disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; thyroid suppression therapy indicated; limiting instrumental ADL,Severe symptoms; limiting self care ADL; hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by excessive levels of thyroid hormone in the body. Common causes include an overactive thyroid gland or thyroid hormone overdose.,-,15
Hypoparathyroidism,Endocrine disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe symptoms; medical intervention or hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a decrease in production of parathyroid hormone by the parathyroid glands.,-,16
Hypophysitis,Endocrine disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation and cellular infiltration of the pituitary gland.,-,16
Hypopituitarism,Endocrine disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a decrease in production of hormones from the pituitary gland.,-,16
Hypothyroidism,Endocrine disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; thyroid replacement indicated; limiting instrumental ADL,Severe symptoms; limiting self care ADL; hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a decrease in production of thyroid hormone by the thyroid gland.,-,16
Precocious puberty,Endocrine disorders,CTCAE v5.0,,Physical signs of puberty with no biochemical markers for females <8 years and males <9 years,Physical signs and biochemical markers of puberty for females <8 years and males <9 years,-,-,-,A disorder characterized by unusually early development of secondary sexual features; the onset of sexual maturation begins usually before age 8 for girls and before age 9 for boys.,-,16
Testosterone deficiency,Endocrine disorders,CTCAE v5.0,,Asymptomatic; mild symptoms with no intervention indicated,Replacement therapy initiated,-,-,-,A disorder characterized by low testosterone.,-,17
Virilization,Endocrine disorders,CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,-,-,-,A disorder characterized by inappropriate masculinization occurring in a female or prepubertal male.,-,17
"Endocrine disorders - Other, specify",Endocrine disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,-,-,17
Blurred vision,Eye disorders,CTCAE v5.0,,Intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); limiting instrumental ADL,"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self care ADL",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by visual perception of unclear or fuzzy images.,-,18
Cataract,Eye disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); glare symptoms affecting instrumental ADL,"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self care ADL",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by partial or complete opacity of the crystalline lens of one or both eyes. This results in a decrease in visual acuity and eventual blindness if untreated.,-,18
Corneal ulcer,Eye disorders,CTCAE v5.0,,-,-,Corneal ulcer without perforation in the affected eye,Perforation in the affected eye,-,A disorder characterized by an area of epithelial tissue loss on the surface of the cornea. It is associated with inflammatory cells in the cornea and anterior chamber.,-,18
Dry eye,Eye disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; symptoms relieved by lubricants,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self care ADL",-,-,A disorder characterized by dryness of the cornea and conjunctiva.,"If corneal ulcer is present, grade under Eye disorders: Corneal ulcer.",18
Extraocular muscle paresis,Eye disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only,Unilateral paresis without double vision,"Bilateral paresis or unilateral paresis causing double vision in peripheral gaze, but not in central gaze",Bilateral paresis requiring head turning to see beyond central 60 degrees or double vision in central gaze,-,A disorder characterized by incomplete paralysis of an extraocular muscle.,-,19
Eye pain,Eye disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the eye.,-,19
Eyelid function disorder,Eye disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; nonoperative intervention indicated; limiting instrumental ADL,Limiting self care ADL; operative intervention indicated,-,-,A disorder characterized by impaired eyelid function.,-,19
Flashing lights,Eye disorders,CTCAE v5.0,,Symptomatic but not limiting ADL,Limiting instrumental ADL,Limiting self care ADL,-,-,A disorder characterized by a sudden or brief burst of light.,Also consider Eye disorders: Retinal tear or Retinal detachment,19
Floaters,Eye disorders,CTCAE v5.0,,Symptomatic but not limiting ADL,Limiting instrumental ADL,Limiting self care ADL,-,-,A disorder characterized by an individual seeing spots before their eyes. The spots are shadows of opaque cell fragments in the vitreous humor or lens.,Also consider Eye disorders: Retinal tear or Retinal detachment,19
Glaucoma,Eye disorders,CTCAE v5.0,,Less than 8 mmHg of elevated intraocular pressure (EIOP); no visual field deficit,EIOP which can be reduced to 21 mmHg or under with topical medications and no visual field deficit,EIOP causing visual field deficits,Visual field deficit within the central 10 degrees of the visual field in the affected eye,-,A disorder characterized by an increase in pressure in the eyeball due to obstruction of the aqueous humor outflow.,-,19
